Date,Min Delay,Total Precip (mm)
2022/8/23,0,0
2022/8/24,0,0
2022/8/25,0,2.7
2022/8/26,0,0
2022/8/27,0,0
2022/8/28,0,0
2022/8/29,0,0
2022/8/30,0,3.2
2022/8/31,1.5,0
2022/9/1,0,0
2022/9/2,0,0
2022/9/3,3.5,0.2
2022/9/4,3,0.1
2022/9/5,0,0
2022/9/6,0,0
2022/9/7,0,0
2022/9/8,3,0
2022/9/9,3,0
2022/9/10,0,0
2022/9/11,3,0
2022/9/12,0,5.3
2022/9/13,3,0.4
2022/9/14,0,0
2022/9/15,0,0
2022/9/16,0,0
2022/9/17,1.5,0
2022/9/18,0,3.5
2022/9/19,0,4.2
2022/9/20,0,0
2022/9/21,0,0
2022/9/22,0,0
2022/9/23,0,0
2022/9/24,0,0
2022/9/25,0,39.2
2022/9/26,1.5,3.9
2022/9/27,1.5,4
2022/9/28,3,0
2022/9/29,0,0
2022/9/30,3,0
2022/10/1,4,0
2022/10/2,0,0
2022/10/3,3,0
2022/10/4,0,0
2022/10/5,3,0
2022/10/6,0,0.2
2022/10/7,0,0.3
2022/10/8,0,0
2022/10/9,0,0
2022/10/10,0,0
2022/10/11,0,0
2022/10/12,0,3.4
2022/10/13,3,11
2022/10/14,0,0.5
2022/10/15,0,1.5
2022/10/16,3,0
2022/10/17,0,0.6
2022/10/18,0,2
2022/10/19,0,1
2022/10/20,0,0
2022/10/21,0,0
2022/10/22,3,0
2022/10/23,0,0
2022/10/24,0,0
2022/10/25,0,0
2022/10/26,0,7.9
2022/10/28,3,0
2022/10/29,0,0
2022/10/30,0,0
2022/10/31,0,3.6
2022/11/1,0,4.9
2022/11/2,0,0
2022/11/3,0,0
2022/11/4,0,0
2022/11/5,0,2.2
2022/11/6,0,0
2022/11/7,0,0
2022/11/8,0,0
2022/11/9,0,0
2022/11/10,0,0
2022/11/11,0,8.3
2022/11/12,0,0.6
2022/11/13,0,0
2022/11/14,0,0
2022/11/15,0,17.6
2022/11/16,0,9.1
2022/11/17,0,0.1
2022/11/18,0,0
2022/11/19,0,0.1
2022/11/20,0,0.2
2022/11/21,3,0
2022/11/22,0,0
2022/11/23,0,0
2022/11/24,0,0
2022/11/25,0,0.9
2022/11/26,0,0
2022/11/27,0,3.8
2022/11/28,0,0
2022/11/29,0,0
2022/11/30,0,22.2
2022/12/1,0,0
2022/12/2,0,3
2022/12/3,0,5.4
2022/12/4,0,0
2022/12/5,0,0
2022/12/6,0,0
2022/12/7,0,0
2022/12/8,0,0
2022/12/9,0,0.1
2022/12/10,0,0
2022/12/11,0,4.4
2022/12/12,0,0
2022/12/13,0,0
2022/12/14,3.5,0
2022/12/15,0,39.8
2022/12/16,0,9.1
2022/12/17,0,0
2022/12/18,0,0
2022/12/19,0,0
2022/12/20,0,0
2022/12/21,0,0
2022/12/22,0,13.4
2022/12/23,0,20.6
2022/12/24,1.5,0
2022/12/25,0,0
2022/12/26,0,0
2022/12/27,0,0
2022/12/28,0,0
2022/12/29,0,0
2022/12/30,0,9.6
2022/12/31,3.5,22.5
2023/1/1,3,1.5
2023/1/2,0,0
2023/1/3,0,3.3
2023/1/4,3,21.1
2023/1/5,0,0.2
2023/1/6,0,0
2023/1/7,0,0
2023/1/8,0,0
2023/1/9,0,0.1
2023/1/10,0,0
2023/1/11,0,0.1
2023/1/12,0,6
2023/1/13,0,2.5
2023/1/14,0,0
2023/1/15,0,0
2023/1/16,0,0.1
2023/1/17,0,4
2023/1/18,0,1.3
2023/1/19,0,4.8
2023/1/20,0,1.7
2023/1/21,0,0
2023/1/22,0,2.8
2023/1/23,0,0
2023/1/24,0,0
2023/1/25,0,19.2
2023/1/26,0,1.9
2023/1/27,0,0.1
2023/1/28,0,0.2
2023/1/29,0,4.9
2023/1/30,0,0
2023/1/31,0,0
2023/2/1,0,0
2023/2/2,0,0
2023/2/3,0,0
2023/2/4,0,0.4
2023/2/5,0,0
2023/2/6,0,0
2023/2/7,0,0
2023/2/8,0,0
2023/2/9,0,28.1
2023/2/10,0,0
2023/2/11,0,0
2023/2/12,0,0
2023/2/13,0,0
2023/2/14,0,0
2023/2/15,0,0.2
2023/2/16,0,4.7
2023/2/17,0,5.7
2023/2/18,0,0
2023/2/19,0,0
2023/2/20,0,0
2023/2/21,0,0.2
2023/2/22,0,17.7
2023/2/23,0,1
2023/2/24,0,0
2023/2/25,0,0.9
2023/2/26,0,0
2023/2/27,0,7.2
2023/2/28,0,2.8
2023/3/1,0,0
2023/3/2,0,0
2023/3/3,0,21.7
2023/3/4,0,11.1
2023/3/5,0,0.4
2023/3/6,0,0
2023/3/7,0,0
2023/3/8,0,0
2023/3/9,0,0
2023/3/10,0,9
2023/3/11,0,0.3
2023/3/12,0,2.5
2023/3/13,0,0.5
2023/3/14,0,0
2023/3/15,0,0
2023/3/16,0,1.8
2023/3/17,0,6.5
2023/3/18,0,0.4
2023/3/19,0,0
2023/3/20,0,0
2023/3/21,0,0
2023/3/22,0,0
2023/3/23,0,9.5
2023/3/24,0,0
2023/3/25,0,23.8
2023/3/26,0,0
2023/3/27,0,1
2023/3/28,0,0
2023/3/29,0,2.1
2023/3/30,0,0
2023/3/31,0,10
2023/4/1,0,16.9
2023/4/2,0,0
2023/4/3,0,0
2023/4/4,0,1.5
2023/4/5,0,26
2023/4/6,0,0
2023/4/7,0,0
2023/4/8,0,0
2023/4/9,0,0
2023/4/10,0,0
2023/4/11,3,0
2023/4/12,0,0
2023/4/13,0,0
2023/4/14,0,0
2023/4/15,0,0
2023/4/16,0,6
2023/4/17,0,0.6
2023/4/18,0,0
2023/4/19,0,0
2023/4/20,0,0.7
2023/4/21,0,2.2
2023/4/22,0,16.9
2023/4/23,0,0
2023/4/24,0,2.2
2023/4/25,0,0
2023/4/26,0,0
2023/4/27,0,0
2023/4/28,0,13.5
2023/4/29,0,6.8
2023/4/30,0,12.2
2023/5/1,0,1.3
2023/5/2,0,5.8
2023/5/3,0,5.1
2023/5/4,0,0
2023/5/5,0,0.1
2023/5/6,0,0
2023/5/7,0,11.1
2023/5/8,0,0
2023/5/9,0,0
2023/5/10,0,0
2023/5/11,0,0
2023/5/12,0,0
2023/5/13,0,0
2023/5/14,0,0
2023/5/15,0,0
2023/5/16,0,0
2023/5/17,0,0
2023/5/18,0,0
2023/5/19,0,9
2023/5/20,0,15.5
2023/5/21,0,0
2023/5/22,0,0
2023/5/23,0,0
2023/5/24,0,0
2023/5/25,0,0
2023/5/26,0,0
2023/5/27,0,0
2023/5/28,0,0
2023/5/29,0,0
2023/5/30,0,0
2023/5/31,0,0
2023/6/1,0,0
2023/6/2,0,9.4
2023/6/3,0,0
2023/6/4,0,0
2023/6/5,0,0
2023/6/6,0,0
2023/6/7,0,0
2023/6/8,0,0
2023/6/9,0,2.4
2023/6/10,0,0
2023/6/11,0,7
2023/6/12,0,50.1
2023/6/13,0,3.3
2023/6/14,0,1.3
2023/6/15,0,2.7
2023/6/16,0,0
2023/6/17,0,0
2023/6/18,0,0
2023/6/19,0,0
2023/6/20,0,0
2023/6/21,0,0
2023/6/22,0,0
2023/6/23,3,4.6
2023/6/24,0,0.1
2023/6/25,0,8.8
2023/6/26,0,7.5
2023/6/27,0,5.8
2023/6/28,0,0
2023/6/29,0,0
2023/6/30,0,0.2
2023/7/1,0,0.4
2023/7/2,0,0.9
2023/7/3,0,2.2
2023/7/4,0,0
2023/7/5,0,0
2023/7/6,0,1.1
2023/7/7,0,0
2023/7/8,0,0.2
2023/7/9,0,0
2023/7/10,0,0
2023/7/11,0,1.8
2023/7/12,0,0
2023/7/13,0,34.1
2023/7/14,0,0
2023/7/15,0,8.8
2023/7/16,0,1.1
2023/7/17,0,0
2023/7/18,0,0.4
2023/7/19,0,0
2023/7/20,0,2.9
2023/7/21,0,0
2023/7/22,0,0
2023/7/23,0,1.2
2023/7/24,0,7.3
2023/7/25,0,2.5
2023/7/26,0,6.2
2023/7/27,0,14.3
2023/7/28,0,0
2023/7/29,0,12.8
2023/7/30,0,0
2023/7/31,0,0
2023/8/1,0,0
2023/8/2,0,0.1
2023/8/3,0,5.8
2023/8/4,0,0
2023/8/5,0,0
2023/8/6,0,3.8
2023/8/7,3,5.9
2023/8/8,4,0
2023/8/9,0,0
2023/8/10,0,0
2023/8/11,0,0
2023/8/12,0,1.7
2023/8/13,0,0
2023/8/14,0,0
2023/8/15,0,2.8
2023/8/16,1.5,0
2023/8/17,0,6.1
2023/8/18,0,0
2023/8/19,0,0
2023/8/20,0,0
2023/8/21,0,0
2023/8/22,0,0
2023/8/23,0,2.4
2023/8/24,0,14.3
2023/8/25,0,0
2023/8/26,0,0.6
2023/8/27,0,0
2023/8/28,0,0
2023/8/29,0,2.4
2023/8/30,0,0
2023/8/31,0,0
2023/9/1,0,0
2023/9/2,0,0
2023/9/3,0,0
2023/9/4,0,0
2023/9/5,0,0
2023/9/6,0,0
2023/9/7,3,5.4
2023/9/8,0,0
2023/9/9,0,0
2023/9/10,0,0
2023/9/11,0,0
2023/9/12,0,4.5
2023/9/13,0,0
2023/9/14,0,0
2023/9/15,0,0
2023/9/16,0,0
2023/9/17,0,0.9
2023/9/18,0,0
2023/9/19,0,0
2023/9/20,0,0
2023/9/21,0,0
2023/9/22,0,0
2023/9/23,0,0
2023/9/24,0,0
2023/9/25,0,0
2023/9/26,0,0
2023/9/27,0,0
2023/9/28,0,0.9
2023/9/29,0,0.2
2023/9/30,0,0
2023/10/1,0,0
2023/10/2,0,0
2023/10/3,0,0
2023/10/4,0,0
2023/10/5,0,12.3
2023/10/6,0,6.1
2023/10/7,0,0
2023/10/8,0,1.5
2023/10/9,0,0
2023/10/10,0,2.8
2023/10/11,0,0
2023/10/12,0,0
2023/10/13,0,0
2023/10/14,0,0
2023/10/15,4,0
2023/10/16,0,0
2023/10/17,0,0
2023/10/18,0,0
2023/10/19,0,0.2
2023/10/20,0,5.7
2023/10/21,0,0
2023/10/22,3,0
2023/10/23,0,0
2023/10/24,0,0
2023/10/25,0,1.1
2023/10/26,0,8
2023/10/27,0,0
2023/10/28,0,0
2023/10/29,0,1.9
2023/10/30,0,2.2
2023/10/31,0,0
2023/11/1,0,0
2023/11/2,0,0
2023/11/3,0,0
2023/11/4,0,2
2023/11/5,0,0
2023/11/6,0,4.7
2023/11/8,0,15.3
2023/11/9,0,1.1
2023/11/10,0,0
2023/11/11,0,0
2023/11/12,0,0
2023/11/13,0,0
2023/11/14,0,0
2023/11/15,0,0
2023/11/16,0,0
2023/11/17,0,0.5
2023/11/18,0,0
2023/11/19,0,0
2023/11/20,0,0
2023/11/21,0,16.6
2023/11/22,0,2.8
2023/11/23,0,0
2023/11/24,0,0
2023/11/25,0,0
2023/11/26,0,9.1
2023/11/27,0,0
2023/11/28,0,0
2023/11/29,0,0
2023/11/30,0,0
2023/12/1,0,9
2023/12/2,0,2.8
2023/12/3,0,2.1
2023/12/4,0,0
2023/12/5,0,0.1
2023/12/6,0,0
2023/12/7,0,3.9
2023/12/8,0,0
2023/12/9,0,9.1
2023/12/10,0,0.7
2023/12/11,0,0
2023/12/12,0,0
2023/12/13,0,0
2023/12/14,0,0
2023/12/15,0,0
2023/12/16,0,0.2
2023/12/17,0,12
2023/12/18,0,1.8
2023/12/19,0,0.3
2023/12/20,0,0
2023/12/21,0,0
2023/12/22,0,0
2023/12/23,0,7.5
2023/12/24,0,0
2023/12/25,0,0
2023/12/26,0,0.9
2023/12/27,0,16.4
2023/12/28,0,3.3
2023/12/29,0,4.5
2023/12/30,0,0
2023/12/31,0,2.3
2024/1/1,0,0.1
2024/1/2,0,0
2024/1/3,0,0
2024/1/4,0,0
2024/1/5,0,0
2024/1/6,0,5
2024/1/7,0,0.1
2024/1/8,0,0
2024/1/9,0,31.2
2024/1/10,0,0
2024/1/11,0,3.3
2024/1/12,0,11.8
2024/1/13,0,3.3
2024/1/14,0,0.1
2024/1/15,0,0
2024/1/16,0,0.9
2024/1/17,0,0
2024/1/18,0,0
2024/1/19,0,0
2024/1/20,0,0
2024/1/21,0,0
2024/1/22,0,0.7
2024/1/23,0,8.1
2024/1/24,0,7.2
2024/1/25,0,0
2024/1/26,0,17.6
2024/1/27,0,0
2024/1/28,0,0.2
2024/1/29,0,0
2024/1/30,0,0
2024/1/31,0,0
2024/2/1,0,0
2024/2/2,0,0
2024/2/3,0,0
2024/2/4,0,0
2024/2/5,0,0
2024/2/6,0,0
2024/2/7,0,0
2024/2/8,0,0
2024/2/9,0,0.8
2024/2/10,0,0
2024/2/11,0,0
2024/2/12,0,0
2024/2/13,0,0.1
2024/2/14,0,0
2024/2/15,0,6.4
2024/2/16,0,0
2024/2/17,3,0.1
2024/2/18,0,0.1
2024/2/19,0,0
2024/2/20,3,0
2024/2/21,0,0
2024/2/22,0,0
2024/2/23,0,0
2024/2/24,0,0
2024/2/25,0,0
2024/2/26,0,0
2024/2/27,0,17.9
2024/2/28,0,7.3
2024/2/29,0,0
2024/3/1,0,0
2024/3/2,0,0.3
2024/3/3,0,0
2024/3/4,0,0
2024/3/5,0,1.2
2024/3/6,0,0.1
2024/3/7,0,0
2024/3/8,0,0.7
2024/3/9,0,13.8
2024/3/10,0,0.1
2024/3/11,0,0
2024/3/12,0,0
2024/3/13,0,0
2024/3/14,0,17.1
2024/3/15,0,0
2024/3/16,0,1.8
2024/3/17,0,0
2024/3/18,0,0.2
2024/3/19,0,2
2024/3/20,0,0.9
2024/3/21,0,0
2024/3/22,0,9.9
2024/3/23,0,0.1
2024/3/24,0,0
2024/3/25,0,0
2024/3/26,0,4.7
2024/3/27,0,0.4
2024/3/28,0,0
2024/3/29,0,0
2024/3/30,0,0
2024/3/31,0,0
2024/4/1,0,0
2024/4/2,0,7.6
2024/4/3,0,56.6
2024/4/4,0,2.7
2024/4/5,0,0
2024/4/6,0,0
2024/4/7,0,0
2024/4/8,0,0
2024/4/9,0,0
2024/4/10,0,0
2024/4/11,0,26.5
2024/4/12,0,13.4
2024/4/13,0,1.2
2024/4/14,0,6.1
2024/4/15,0,0
2024/4/16,0,0
2024/4/17,0,18
2024/4/18,0,0
2024/4/19,0,1.4
2024/4/20,0,0.4
2024/4/21,0,0
2024/4/22,0,0
2024/4/23,0,1.2
2024/4/24,0,0
2024/4/25,0,0
2024/4/26,0,0
2024/4/27,0,3.8
2024/4/28,0,3.7
2024/4/29,3,8.9
2024/4/30,0,1.8
2024/5/1,0,0
2024/5/2,0,0
2024/5/3,0,2.4
2024/5/4,0,0
2024/5/5,0,2.7
2024/5/6,0,0
2024/5/7,0,6.9
2024/5/8,0,1.3
2024/5/9,0,0
2024/5/10,0,0
2024/5/11,0,1.9
2024/5/12,0,0
2024/5/13,0,0.4
2024/5/14,0,0.2
2024/5/15,0,0
2024/5/16,0,0
2024/5/17,0,3.5
2024/5/18,0,0.3
2024/5/19,0,0
2024/5/20,0,0
2024/5/21,0,0
2024/5/22,0,0.3
2024/5/23,0,0
2024/5/24,0,0
2024/5/25,0,7.4
2024/5/26,3,3.3
2024/5/27,0,28.4
2024/5/28,0,2.9
2024/5/29,0,0.1
2024/5/30,0,0
2024/5/31,0,0
2024/6/1,0,0
2024/6/2,0,3
2024/6/3,0,0.2
2024/6/4,0,0
2024/6/5,0,1.5
2024/6/6,0,1.1
2024/6/7,0,6.5
2024/6/8,0,3.6
2024/6/9,0,0.9
2024/6/10,0,0
2024/6/11,0,0
2024/6/12,3,0
2024/6/13,0,1.8
2024/6/14,0,0
2024/6/15,0,0
2024/6/16,0,0
2024/6/17,0,0
2024/6/18,0,10
2024/6/19,0,0
2024/6/20,0,25.8
2024/6/21,0,2.4
2024/6/22,0,0.9
2024/6/23,0,0.4
2024/6/24,0,0
2024/6/25,0,0
2024/6/26,0,3.8
2024/6/27,0,0
2024/6/28,0,0.1
2024/6/29,0,17.9
2024/6/30,0,0
2024/7/1,0,0
2024/7/2,0,0
2024/7/3,0,0
2024/7/4,0,0
2024/7/5,3,1.2
2024/7/6,0,1.8
2024/7/7,0,0
2024/7/8,0,0
2024/7/9,0,0
2024/7/10,0,44.7
2024/7/11,0,1.4
2024/7/12,0,6.2
2024/7/13,0,0
2024/7/14,0,2.1
2024/7/15,0,29.9
2024/7/16,0,83.6
2024/7/17,0,0
2024/7/18,0,0
2024/7/19,0,0
2024/7/20,0,0
2024/7/21,0,0
2024/7/22,0,0
2024/7/24,0,25.3
2024/7/25,0,0
2024/7/26,0,0
2024/7/27,0,0
2024/7/29,0,0
2024/7/30,0,0
2024/7/31,0,2.8
2024/8/1,0,0.1
2024/8/2,0,0
2024/8/3,0,0
2024/8/4,4,0
2024/8/5,0,40.5
2024/8/6,0,1.3
2024/8/7,0,0
2024/8/8,0,0
2024/8/9,0,6.1
2024/8/10,0,0
2024/8/11,0,0.3
2024/8/12,0,0
2024/8/13,0,0
2024/8/14,0,0
2024/8/15,0,0
2024/8/16,0,3.8
2024/8/17,0,3.5
2024/8/18,0,1.5
2024/8/19,0,0
2024/8/20,0,0
2024/8/21,0,0
2024/8/22,3,0
2024/8/23,0,0
2024/8/24,0,0
2024/8/25,0,0
2024/8/26,0,0
2024/8/27,0,0
2024/8/28,0,0
2024/8/29,0,0
2024/8/30,0,3.3
2024/8/31,0,5.7
2024/9/1,0,0
2024/9/2,0,0
2024/9/3,0,0
2024/9/4,0,0
2024/9/5,0,0
2024/9/6,0,4.1
2024/9/7,0,3.2
2024/9/8,0,0
2024/9/9,0,2.1
2024/9/11,0,0
2024/9/12,0,0
2024/9/13,0,0
2024/9/14,0,0
2024/9/15,0,0
2024/9/16,0,0
2024/9/17,0,0
2024/9/18,0,0
2024/9/19,0,0
2024/9/20,0,0
2024/9/21,0,8.6
2024/9/22,0,0.2
2024/9/23,0,19.9
2024/9/24,0,16
2024/9/25,0,3.4
2024/9/26,0,0
2024/9/27,0,0
2024/9/28,0,0.1
2024/9/29,0,0
2024/9/30,0,0
2024/10/1,0,5.4
2024/10/2,0,0.2
2024/10/3,0,0
2024/10/4,0,0.3
2024/10/5,0,0
2024/10/6,0,0.6
2024/10/7,0,1.3
2024/10/8,0,3
2024/10/9,0,0.2
2024/10/10,0,0
2024/10/11,0,0
2024/10/12,0,0
2024/10/13,0,0.3
2024/10/14,0,0
2024/10/15,0,0
2024/10/16,0,0
2024/10/17,0,0
2024/10/18,0,0
2024/10/19,0,0
2024/10/20,0,0
2024/10/21,0,0
2024/10/22,3,0
2024/10/23,0,0
2024/10/24,0,0
2024/10/25,0,0.1
2024/10/26,0,0
2024/10/27,0,0
2024/10/28,0,0
2024/10/29,0,9.9
2024/10/30,0,0
2024/10/31,0,0.3
2024/11/1,0,0
2024/11/2,0,0
2024/11/3,0,0
2024/11/4,0,0.1
2024/11/5,0,0
2024/11/6,0,0.5
2024/11/7,0,0
2024/11/8,0,0
2024/11/9,0,0
2024/11/10,0,8.8
2024/11/11,0,2.2
2024/11/12,0,0
2024/11/13,0,0
2024/11/14,0,1.6
2024/11/15,0,0
2024/11/16,0,0
2024/11/17,3,0
2024/11/18,0,0
2024/11/19,0,0.9
2024/11/20,3,19.8
2024/11/21,0,0.7
2024/11/22,0,1.3
2024/11/23,0,0
2024/11/24,0,0
2024/11/25,0,1.4
2024/11/26,0,5.4
2024/11/27,0,0
2024/11/28,0,0.2
2024/11/29,0,0
2024/11/30,0,0
2024/12/1,0,0
2024/12/2,0,0
2024/12/3,0,0
2024/12/4,0,3.6
2024/12/5,0,0.2
2024/12/6,0,0
2024/12/7,0,2.1
2024/12/8,0,0
2024/12/9,0,3.2
2024/12/10,0,5.7
2024/12/11,0,0.4
2024/12/12,0,0
2024/12/13,0,0
2024/12/14,0,0
2024/12/15,0,1
2024/12/16,0,13.2
2024/12/17,0,0
2024/12/18,0,0.8
2024/12/19,0,0
2024/12/20,0,2.3
2024/12/21,0,0.1
2024/12/22,0,0
2024/12/23,0,9.2
2024/12/24,0,0.2
2024/12/25,0,0.1
2024/12/26,0,0
2024/12/27,0,0.2
2024/12/28,0,0.9
2024/12/29,0,23.2
2024/12/30,0,2.3
2024/12/31,0,2.9
2025/1/1,0,0.7
2025/1/2,0,0.1
2025/1/3,0,0
2025/1/4,0,0
2025/1/5,0,0
2025/1/6,0,0
2025/1/7,0,0
2025/1/8,0,0
2025/1/9,0,0
2025/1/10,1.5,4.1
2025/1/11,0,1.8
2025/1/12,3,0.4
2025/1/13,0,0.2
2025/1/14,0,0
2025/1/15,0,0
2025/1/16,0,1.1
2025/1/17,0,0.4
2025/1/18,0,3.3
2025/1/19,0,0.2
2025/1/20,0,0
2025/1/21,1.5,0
2025/1/22,0,0.3
2025/1/23,0,0
2025/1/24,0,0
2025/1/25,0,0
2025/1/26,0,0.1
2025/1/27,0,0.1
2025/1/28,0,6
2025/1/29,0,0.2
2025/1/30,0,0
2025/1/31,0,0
2025/2/1,0,0
2025/2/2,0,1.1
2025/2/3,0,2.6
2025/2/4,0,0
2025/2/5,0,0
2025/2/6,0,3.1
2025/2/7,0,0
2025/2/8,0,6.1
2025/2/9,0,1.9
2025/2/10,0,0
2025/2/11,0,0
2025/2/12,0,13.3
2025/2/13,0,10.5
2025/2/14,0,0
2025/2/15,0,9
2025/2/16,0,17.3
2025/2/17,0,0
2025/2/18,0,0
2025/2/19,0,0
2025/2/20,0,0.1
2025/2/21,0,0
2025/2/22,0,0.2
2025/2/23,0,0
2025/2/24,0,0
2025/2/25,0,0.6
2025/2/26,0,0
2025/2/27,0,4.6
2025/2/28,0,0.5
2025/3/1,0,0
2025/3/2,0,0
2025/3/3,0,0
2025/3/4,0,0.9
